bp,w/f,sm,a/w,d/w,ir,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,age,height,weight,value,wage,attacking,crossing,finishing,heading accuracy,short passing,volleys,skill,dribbling,curve,fk accuracy,long passing,ball control,movement,acceleration,sprint speed,agility,reactions,balance,power,shot power,jumping,stamina,strength,long shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing tackle,sliding tackle,goalkeeping,gk diving,gk handling,gk kicking,gk positioning,gk reflexes,total stats,base stats,pac,sho,pas,dri,def,phy,ova
RB,4,2,2,2,1,25,62,62,62,66,64,64,64,66,66,66,66,68,68,68,68,68,71,70,70,70,71,71,70,70,70,71,16,25,6.1,179.0,45000000,28000,290,73,39,62,69,47.0,327,71,62.0,58,67,69,340,71,69,68.0,71,61.0,337,69,65.0,75,70,58,302,70,70.0,62.0,65.0,35,68.0,215,70,73,72.0,48,8,12,10,10,8,1859,399,70,50,68,70,70,71,73
ST,3,3,2,2,1,5,69,69,69,68,68,68,68,68,67,67,67,67,62,62,62,67,54,52,52,52,54,52,49,49,49,52,15,29,5.9,165.0,875000,4000,333,68,74,75,65,51.0,321,68,60.0,64,60,69,325,61,64,65.0,65,70.0,334,65,73.0,65,68,63,295,55,28.0,71.0,68.0,73,52.0,110,45,31,34.0,46,12,8,12,5,9,1764,369,63,69,65,68,39,65,68
CB,3,2,2,2,1,10,43,43,43,39,40,40,40,39,39,39,39,41,42,42,42,41,52,53,53,53,52,55,61,61,61,55,13,21,6.3,192.0,475000,3000,202,36,31,60,46,29.0,184,39,32.0,32,39,42,236,53,52,36.0,49,46.0,263,49,67.0,55,69,23,223,59,59.0,28.0,30.0,47,42.0,194,61,67,66.0,44,10,6,11,6,11,1346,290,52,34,38,40,63,63,62
CB,3,2,2,2,1,4,51,51,51,48,49,49,49,48,50,50,50,50,54,54,54,50,58,63,63,63,58,60,65,65,65,60,15,22,6.3,174.0,675000,2000,226,31,38,60,68,29.0,234,42,41.0,29,65,57,286,67,56,58.0,58,47.0,320,59,70.0,63,77,51,219,58,62.0,30.0,29.0,40,59.0,199,65,68,66.0,48,7,11,12,10,8,1532,337,61,44,49,49,65,69,65
LB,1,2,0,2,1,5,43,43,43,48,46,46,46,48,45,45,45,50,45,45,45,50,53,49,49,49,53,53,50,50,50,53,13,19,5.11,139.0,130000,500,185,49,28,34,38,36.0,209,53,30.0,34,42,50,327,74,72,52.0,58,71.0,246,32,78.0,64,39,33,220,57,51.0,44.0,32.0,36,41.0,152,49,55,48.0,36,7,5,7,9,8,1375,297,73,31,39,53,50,51,55
CAM,2,4,2,2,1,42,71,71,71,74,74,74,74,74,76,76,76,74,75,75,75,74,67,69,69,69,67,65,62,62,62,65,17,29,6.1,185.0,75000000,85000,351,71,71,58,81,70.0,379,76,76.0,72,76,79,354,66,60,78.0,75,75.0,328,74,42.0,69,67,76,327,54,60.0,72.0,76.0,65,77.0,176,63,62,51.0,46,14,12,7,6,7,1961,413,63,72,77,77,60,64,76
ST,4,3,2,2,2,191,78,78,78,76,77,77,77,76,75,75,75,76,71,71,71,76,61,60,60,60,61,59,56,56,56,59,17,23,6.1,190.0,145000000,37000,352,63,78,71,76,64.0,340,77,68.0,51,70,74,383,83,91,66.0,76,67.0,388,82,73.0,78,85,70,336,79,41.0,78.0,72.0,66,74.0,106,26,42,38.0,45,13,6,7,7,12,1950,428,87,76,70,74,40,81,78
CB,3,2,2,2,1,3,45,45,45,44,43,43,43,44,44,44,44,45,47,47,47,45,57,59,59,59,57,60,65,65,65,60,21,24,6.0,165.0,525000,5000,247,51,25,61,53,57.0,214,23,35.0,50,45,61,297,64,65,45.0,61,62.0,273,48,79.0,36,69,41,237,65,64.0,23.0,38.0,47,58.0,203,72,66,65.0,81,13,19,15,16,18,1552,314,65,35,47,40,67,60,65
LB,2,2,2,1,1,5,45,45,45,49,46,46,46,49,47,47,47,51,49,49,49,51,55,53,53,53,55,55,52,52,52,55,13,25,5.7,154.0,110000,500,217,52,35,50,57,23.0,225,41,39.0,41,55,49,330,72,72,64.0,47,75.0,251,33,58.0,69,55,36,226,58,52.0,42.0,34.0,40,39.0,150,48,53,49.0,43,12,10,9,6,6,1442,314,72,35,49,48,51,59,57
CAM,3,4,0,2,1,249,67,67,67,74,73,73,73,74,74,74,74,74,68,68,68,74,58,54,54,54,58,53,42,42,42,53,16,20,5.9,161.0,115000000,500,305,69,70,35,76,55.0,315,82,48.0,38,68,79,383,82,84,78.0,68,71.0,336,71,67.0,68,61,69,252,37,41.0,59.0,70.0,45,67.0,76,24,25,27.0,43,7,11,5,9,11,1710,385,83,67,69,79,29,58,75
CB,3,2,2,2,1,5,57,57,57,60,58,58,58,60,59,59,59,62,61,61,61,62,66,65,65,65,66,66,67,67,67,66,14,26,5.1,165.0,975000,3000,256,59,39,63,67,28.0,263,60,47.0,25,66,65,337,74,79,65.0,55,64.0,326,56,68.0,73,76,53,271,72,60.0,55.0,50.0,34,53.0,202,63,69,70.0,47,6,14,9,5,13,1702,382,77,45,59,62,65,74,68
CB,3,2,0,2,1,4,55,55,55,57,56,56,56,57,58,58,58,61,62,62,62,61,66,67,67,67,66,67,68,68,68,67,14,25,6.1,183.0,11000000,10000,262,58,31,65,67,41.0,274,55,55.0,39,64,61,331,68,69,65.0,63,66.0,341,51,73.0,90,86,41,298,74,65.0,54.0,57.0,48,56.0,196,67,65,64.0,42,9,9,11,8,5,1744,379,69,40,61,59,66,84,68
RW,3,4,0,2,1,8,71,71,71,75,74,74,74,75,74,74,74,73,66,66,66,73,56,51,51,51,56,53,45,45,45,53,15,30,5.8,146.0,23000000,500,335,66,70,64,72,63.0,344,78,65.0,65,59,77,417,85,81,88.0,73,90.0,306,70,70.0,58,40,68,278,40,25.0,72.0,72.0,69,72.0,102,55,27,20.0,38,6,7,6,5,14,1820,383,83,69,68,79,38,46,71
CB,3,2,2,2,1,7,42,42,42,40,40,40,40,40,39,39,39,42,42,42,42,42,53,53,53,53,53,56,60,60,60,56,16,21,6.3,176.0,425000,550,187,39,24,56,39,29.0,175,34,29.0,36,32,44,272,59,60,45.0,52,56.0,274,43,67.0,61,73,30,241,64,62.0,33.0,37.0,45,54.0,184,56,65,63.0,57,14,8,13,13,9,1390,297,60,31,37,40,61,68,61
GK,2,1,2,2,1,4,28,28,28,29,30,30,30,29,31,31,31,30,31,31,31,30,27,29,29,29,27,27,28,28,28,27,74,25,6.4,176.0,45000000,7000,94,17,17,19,24,17.0,93,18,12.0,12,27,24,239,49,50,31.0,65,44.0,186,20,55.0,28,69,14,142,28,20.0,14.0,61.0,19,33.0,50,17,18,15.0,369,75,71,69,75,79,1173,419,75,71,69,79,50,75,75
CDM,3,2,2,0,1,185,55,55,55,60,60,60,60,60,62,62,62,62,65,65,65,62,65,67,67,67,65,64,64,64,64,64,14,19,5.1,154.0,18000000,2000,252,52,41,51,73,35.0,289,61,48.0,42,66,72,320,67,59,58.0,65,71.0,286,55,61.0,68,57,45,301,71,64.0,50.0,62.0,54,61.0,197,62,69,66.0,41,8,12,9,7,5,1686,363,63,45,63,65,64,63,68
RM,4,2,2,2,1,3,60,60,60,64,62,62,62,64,62,62,62,63,56,56,56,63,53,48,48,48,53,50,43,43,43,50,14,20,5.9,159.0,550000,2000,275,59,55,41,57,63.0,307,71,65.0,49,53,69,358,83,79,78.0,49,69.0,300,73,58.0,61,47,61,249,43,39.0,53.0,57.0,57,63.0,105,41,31,33.0,52,9,6,14,11,12,1646,355,81,60,57,70,37,50,62
CB,3,2,2,2,1,3,43,43,43,39,40,40,40,39,41,41,41,40,45,45,45,40,52,56,56,56,52,54,63,63,63,54,14,33,5.11,168.0,170000,1000,211,29,31,63,58,30.0,173,31,29.0,30,33,50,230,36,33,37.0,64,60.0,262,36,71.0,49,75,31,213,61,62.0,28.0,30.0,32,53.0,192,64,64,64.0,40,11,9,6,7,7,1321,276,34,32,40,40,64,66,63
ST,4,2,0,2,1,6,66,66,66,61,63,63,63,61,60,60,60,59,53,53,53,59,43,41,41,41,43,41,40,40,40,41,16,24,6.2,165.0,850000,3000,292,42,70,69,58,53.0,251,64,47.0,35,48,57,309,64,71,54.0,62,58.0,334,67,66.0,53,82,66,236,39,15.0,66.0,51.0,65,59.0,65,20,20,25.0,51,7,9,12,12,11,1538,335,68,67,50,61,24,65,66
RM,3,3,0,2,1,27,60,60,60,63,62,62,62,63,63,63,63,64,61,61,61,64,55,54,54,54,55,52,48,48,48,52,16,22,5.1,165.0,925000,3000,266,52,45,54,68,47.0,285,66,45.0,45,64,65,363,75,80,75.0,62,71.0,314,65,71.0,67,61,50,279,62,44.0,60.0,61.0,52,61.0,103,33,35,35.0,47,14,7,6,12,8,1657,358,78,51,61,67,38,63,65
ST,3,2,2,2,1,3,62,62,62,56,58,58,58,56,54,54,54,54,46,46,46,54,39,35,35,35,39,37,37,37,37,37,16,19,6.4,165.0,800000,2000,272,38,66,69,38,61.0,240,59,45.0,42,31,63,308,65,63,58.0,64,58.0,313,59,62.0,56,74,62,226,48,15.0,59.0,38.0,66,56.0,47,18,12,17.0,54,9,9,14,15,7,1460,310,64,63,38,60,21,64,63
CDM,4,3,2,2,1,3,64,64,64,62,64,64,64,62,64,64,64,63,65,65,65,63,62,66,66,66,62,62,66,66,66,62,15,23,6.3,187.0,775000,1000,288,50,58,64,66,50.0,296,65,56.0,46,63,66,303,60,58,65.0,64,56.0,356,71,64.0,73,86,62,311,71,63.0,62.0,65.0,50,68.0,185,61,64,60.0,45,5,13,8,6,13,1784,388,59,61,61,65,63,79,65
RM,3,2,2,2,1,3,54,54,54,59,56,56,56,59,57,57,57,59,54,54,54,59,55,52,52,52,55,54,51,51,51,54,18,21,5.1,172.0,200000,3000,250,62,54,36,53,45.0,258,58,39.0,50,51,60,339,73,76,67.0,52,71.0,303,46,80.0,64,72,41,255,52,44.0,52.0,61.0,46,58.0,142,48,48,46.0,68,13,16,13,12,14,1615,351,75,49,55,60,46,66,58
CB,3,2,2,2,1,10,41,41,41,38,38,38,38,38,38,38,38,41,44,44,44,41,53,54,54,54,53,56,61,61,61,56,17,20,6.2,185.0,425000,1000,199,31,22,66,49,31.0,174,28,32.0,24,48,42,278,61,57,45.0,57,58.0,269,39,70.0,65,74,21,200,55,53.0,22.0,33.0,37,41.0,187,59,65,63.0,58,12,15,12,14,5,1365,291,59,26,40,37,61,68,61
CAM,3,2,2,2,1,3,48,48,48,51,51,51,51,51,52,52,52,51,51,51,51,51,47,48,48,48,47,47,45,45,45,47,15,18,5.7,143.0,80000,600,207,35,43,37,56,36.0,245,52,47.0,38,57,51,310,66,65,62.0,54,63.0,222,45,55.0,38,43,41,223,44,39.0,44.0,54.0,42,51.0,133,41,45,47.0,49,12,10,9,13,5,1389,296,65,43,50,53,42,43,51
RB,1,2,2,2,1,7,65,65,65,68,67,67,67,68,67,67,67,70,67,67,67,70,73,70,70,70,73,73,72,72,72,73,19,24,6.0,170.0,65000000,26000,290,70,49,63,67,41.0,297,73,60.0,35,60,69,371,76,87,75.0,77,56.0,324,60,67.0,76,74,47,322,69,74.0,68.0,62.0,49,60.0,216,74,73,69.0,55,11,15,7,12,10,1875,413,82,51,64,71,72,73,75
CB,3,2,2,0,2,6,52,52,52,50,50,50,50,50,51,51,51,53,56,56,56,53,62,65,65,65,62,63,68,68,68,63,18,33,6.0,165.0,500000,5000,251,57,22,69,63,40.0,256,47,49.0,43,60,57,284,49,52,61.0,64,58.0,308,67,75.0,67,75,24,277,80,66.0,53.0,48.0,30,65.0,201,66,68,67.0,60,16,8,13,10,13,1637,336,51,34,57,53,67,74,69
CDM,3,3,2,0,1,4,58,58,58,61,61,61,61,61,63,63,63,64,67,67,67,64,67,69,69,69,67,67,67,67,67,67,18,29,5.1,163.0,725000,6000,257,55,44,57,67,34.0,282,62,40.0,45,68,67,328,61,61,68.0,72,66.0,347,48,76.0,91,73,59,302,73,66.0,60.0,64.0,39,58.0,200,63,70,67.0,57,15,10,10,15,7,1773,380,61,48,62,65,66,78,67
RM,4,3,2,2,1,20,67,67,67,72,70,70,70,72,70,70,70,71,62,62,62,71,54,49,49,49,54,50,42,42,42,50,15,26,5.8,154.0,33000000,10000,306,66,70,41,68,61.0,337,77,70.0,65,52,73,410,87,85,86.0,68,84.0,306,59,71.0,63,56,57,274,55,32.0,69.0,64.0,54,66.0,75,29,24,22.0,44,12,7,8,10,7,1752,378,86,64,64,77,29,58,72
CB,3,2,2,2,1,4,50,50,50,46,48,48,48,46,49,49,49,47,54,54,54,47,56,61,61,61,56,58,64,64,64,58,15,26,6.3,176.0,575000,4000,225,31,31,64,61,38.0,249,50,40.0,47,58,54,254,48,52,46.0,56,52.0,357,72,76.0,64,83,62,223,56,62.0,21.0,43.0,41,61.0,193,60,67,66.0,47,7,10,5,14,11,1548,333,50,46,49,51,64,73,65
CB,3,3,0,2,1,42,62,62,62,64,64,64,64,64,65,65,65,65,69,69,69,65,72,74,74,74,72,72,75,75,75,72,19,25,6.0,185.0,75000000,25000,291,68,35,72,75,41.0,363,65,82.0,74,70,72,334,62,65,67.0,74,66.0,381,82,83.0,68,77,71,318,77,79.0,50.0,65.0,47,75.0,224,75,76,73.0,58,16,10,8,14,10,1969,407,64,53,71,68,76,75,75
RB,3,2,2,2,2,3,56,56,56,58,57,57,57,58,58,58,58,60,59,59,59,60,65,64,64,64,65,65,64,64,64,65,15,31,5.9,141.0,375000,500,260,59,40,48,60,53.0,276,54,61.0,37,63,61,378,78,77,77.0,62,84.0,326,65,80.0,67,61,53,297,77,67.0,51.0,52.0,50,77.0,197,65,67,65.0,45,9,10,6,14,6,1779,375,77,49,58,60,64,67,65
LWB,3,3,0,2,1,5,62,62,62,65,64,64,64,65,64,64,64,66,65,65,65,66,68,66,66,66,68,68,64,64,64,68,20,31,5.11,179.0,13000000,21000,289,67,57,57,64,44.0,291,66,45.0,53,63,64,352,68,70,78.0,66,70.0,324,61,66.0,82,63,52,304,48,73.0,66.0,64.0,53,63.0,195,64,67,64.0,71,14,14,14,13,16,1826,386,69,56,63,67,66,65,70
GK,2,1,2,2,1,69,22,22,22,19,21,21,21,19,23,23,23,21,23,23,23,21,20,24,24,24,20,19,23,23,23,19,63,20,6.6,198.0,725000,1000,63,12,8,10,28,5.0,74,7,13.0,14,27,13,181,28,25,42.0,58,28.0,187,47,43.0,20,70,7,100,25,11.0,8.0,38.0,18,42.0,39,15,10,14.0,317,65,61,62,60,69,961,343,65,61,62,69,26,60,64
CAM,4,3,0,2,1,204,72,72,72,76,76,76,76,76,76,76,76,76,70,70,70,76,59,56,56,56,59,55,47,47,47,55,15,23,5.11,159.0,10000000,23000,334,74,71,53,76,60.0,370,84,73.0,68,65,80,385,83,69,81.0,72,80.0,336,74,68.0,70,59,65,303,55,28.0,75.0,74.0,71,80.0,106,30,42,34.0,44,6,10,11,6,11,1878,397,75,70,73,82,36,61,76
LB,3,2,2,2,1,3,59,59,59,64,62,62,62,64,64,64,64,66,68,68,68,66,72,72,72,72,72,73,72,72,72,73,17,36,5.1,161.0,12000000,18000,297,73,45,68,70,41.0,290,61,45.0,46,69,69,350,69,70,67.0,72,72.0,319,55,69.0,79,64,52,321,79,70.0,51.0,70.0,51,68.0,226,78,77,71.0,47,13,9,5,13,7,1850,397,70,49,68,65,74,71,75
LM,4,4,0,2,2,44,73,73,73,77,76,76,76,77,77,77,77,76,75,75,75,76,71,70,70,70,71,69,66,66,66,69,13,29,6.0,170.0,85000000,20000,358,75,72,60,78,73.0,388,82,78.0,74,74,80,377,76,75,76.0,74,76.0,339,72,65.0,60,68,74,360,66,70.0,75.0,77.0,72,78.0,184,50,64,70.0,24,4,5,3,4,8,2030,430,75,73,76,80,61,65,77
LB,3,2,0,2,1,17,49,49,49,53,50,50,50,53,51,51,51,57,56,56,56,57,67,64,64,64,67,67,64,64,64,67,19,32,5.8,154.0,0,0,234,63,27,63,58,23.0,247,59,35.0,37,57,59,344,64,70,65.0,68,77.0,287,46,57.0,90,58,36,222,57,67.0,32.0,37.0,29,57.0,203,67,70,66.0,63,15,14,10,15,9,1600,346,67,33,52,61,67,66,69
RB,4,3,0,2,1,3,60,60,60,68,66,66,66,68,69,69,69,70,71,71,71,70,74,70,70,70,74,72,63,63,63,72,18,32,5.9,157.0,35000000,13000,315,75,59,37,75,69.0,351,67,69.0,80,68,67,392,74,75,78.0,80,85.0,317,68,63.0,81,36,69,282,40,73.0,44.0,76.0,49,70.0,214,72,72,70.0,49,15,6,9,8,11,1920,399,75,62,74,70,69,49,74
RM,3,3,0,0,1,6,64,64,64,68,66,66,66,68,65,65,65,69,63,63,63,69,67,61,61,61,67,65,58,58,58,65,15,27,5.11,159.0,19000000,10000,287,68,61,40,65,53.0,304,69,68.0,47,52,68,394,87,88,78.0,64,77.0,352,65,78.0,91,63,55,299,70,59.0,64.0,57.0,49,59.0,157,41,59,57.0,46,8,13,8,10,7,1839,403,88,60,61,70,52,72,70
LWB,2,3,2,2,1,9,53,53,53,59,56,56,56,59,58,58,58,62,61,61,61,62,67,64,64,64,67,66,63,63,63,66,13,24,5.9,163.0,11000000,5000,242,65,30,58,61,28.0,309,66,57.0,53,67,66,358,77,74,73.0,58,76.0,323,49,90.0,79,59,46,261,60,69.0,48.0,50.0,34,62.0,189,60,64,65.0,37,6,6,9,8,8,1719,369,75,38,60,67,63,66,68
CB,2,2,2,0,1,4,46,46,46,43,44,44,44,43,45,45,45,46,51,51,51,46,56,61,61,61,56,58,65,65,65,58,16,21,6.5,161.0,725000,1000,200,28,25,65,57,25.0,207,45,29.0,24,56,53,274,55,55,53.0,57,54.0,291,45,69.0,69,81,27,237,70,63.0,31.0,34.0,39,60.0,192,64,65,63.0,57,12,9,15,14,7,1458,316,55,30,43,49,64,75,65
LWB,2,3,2,2,1,42,52,52,52,62,58,58,58,62,60,60,60,65,62,62,62,65,69,66,66,66,69,68,64,64,64,68,14,20,5.7,143.0,26000000,3000,236,75,25,44,67,25.0,257,68,36.0,27,59,67,371,78,76,68.0,63,86.0,268,48,58.0,74,58,30,282,69,65.0,55.0,56.0,37,62.0,204,67,70,67.0,42,7,10,9,7,9,1660,369,77,33,62,68,65,64,70
CM,5,3,0,2,1,3,54,54,54,58,58,58,58,58,61,61,61,62,63,63,63,62,57,57,57,57,57,55,50,50,50,55,13,19,5.11,154.0,650000,2000,248,49,35,41,68,55.0,349,64,73.0,67,72,73,320,68,69,68.0,45,70.0,305,72,68.0,70,64,31,257,40,53.0,45.0,74.0,45,62.0,131,35,44,52.0,45,13,8,7,10,7,1655,350,69,44,66,66,44,61,62
CAM,3,3,2,1,1,27,56,56,56,59,57,57,57,59,57,57,57,57,50,50,50,57,40,36,36,36,40,37,30,30,30,37,13,18,5.7,143.0,190000,1000,276,54,59,50,56,57.0,298,65,62.0,60,49,62,346,75,69,80.0,37,85.0,283,56,67.0,52,47,61,202,32,13.0,47.0,51.0,59,62.0,45,12,16,17.0,48,12,11,7,7,11,1498,313,72,58,54,65,18,46,56
CB,2,2,2,0,1,3,42,42,42,37,39,39,39,37,40,40,40,41,48,48,48,41,53,59,59,59,53,56,62,62,62,56,17,29,6.2,190.0,250000,950,201,26,20,65,59,31.0,174,26,25.0,23,55,45,263,44,52,39.0,60,68.0,270,46,50.0,70,84,20,244,67,61.0,26.0,37.0,53,49.0,180,59,61,60.0,58,11,14,10,12,11,1390,293,48,28,44,37,61,75,62
CB,3,2,1,0,1,4,50,50,50,47,47,47,47,47,47,47,47,49,52,52,52,49,62,64,64,64,62,65,71,71,71,65,18,34,6.0,179.0,875000,5000,219,35,32,66,54,32.0,206,42,34.0,29,52,49,327,62,70,61.0,67,67.0,319,51,88.0,69,81,30,258,68,75.0,36.0,39.0,40,68.0,220,72,74,74.0,63,11,15,14,14,9,1612,345,66,36,45,49,73,76,71
CB,2,2,2,2,1,8,58,58,58,53,57,57,57,53,56,56,56,55,59,59,59,55,58,63,63,63,58,59,65,65,65,59,17,27,6.1,185.0,550000,2000,263,29,49,64,65,56.0,247,54,38.0,37,60,58,270,56,59,40.0,59,56.0,348,68,76.0,70,78,56,288,71,63.0,53.0,53.0,48,60.0,189,63,64,62.0,62,12,7,15,13,15,1667,357,58,55,52,54,63,75,65
LWB,3,3,0,1,2,249,69,69,69,74,73,73,73,74,74,74,74,76,75,75,75,76,80,77,77,77,80,79,77,77,77,79,17,25,6.1,187.0,195000000,115000,309,87,39,65,80,38.0,350,79,80.0,44,69,78,372,75,84,68.0,80,65.0,369,79,71.0,75,79,65,352,75,78.0,73.0,76.0,50,79.0,236,77,79,80.0,47,7,7,9,15,9,2035,442,80,54,77,77,77,77,81
CAM,4,5,0,2,2,47,68,68,68,71,70,70,70,71,71,71,71,69,67,67,67,69,57,57,57,57,57,55,52,52,52,55,16,34,5.1,157.0,900000,9000,334,70,65,60,70,69.0,363,74,75.0,72,68,74,367,69,71,83.0,68,76.0,311,72,57.0,50,59,73,329,66,51.0,68.0,70.0,74,72.0,111,41,41,29.0,50,10,9,12,13,6,1865,386,70,69,70,75,44,58,70
ST,3,3,0,1,1,6,62,62,62,63,63,63,63,63,62,62,62,61,54,54,54,61,48,43,43,43,48,45,38,38,38,45,16,28,5.8,150.0,325000,6000,277,47,54,62,59,55.0,312,66,72.0,68,41,65,382,83,68,85.0,65,81.0,283,64,48.0,70,33,68,245,43,23.0,67.0,48.0,64,64.0,78,50,14,14.0,49,5,13,11,15,5,1626,332,75,60,53,68,31,45,62
LW,3,3,0,1,1,4,62,62,62,69,67,67,67,69,68,68,68,67,61,61,61,67,51,47,47,47,51,48,38,38,38,48,16,30,5.7,132.0,1000000,500,308,70,62,40,66,70.0,350,74,72.0,69,65,70,379,78,77,81.0,61,82.0,265,65,72.0,34,34,60,271,26,42.0,66.0,66.0,71,63.0,76,16,31,29.0,52,14,7,12,8,11,1701,343,77,63,67,73,29,34,69
CB,3,2,2,2,1,6,47,47,47,47,46,46,46,47,47,47,47,50,50,50,50,50,59,59,59,59,59,61,63,63,63,61,14,19,5.11,163.0,600000,2000,206,29,25,65,59,28.0,212,52,38.0,27,45,50,327,71,70,63.0,57,66.0,291,44,76.0,81,67,23,245,67,62.0,31.0,36.0,49,55.0,189,59,64,66.0,43,6,7,6,13,11,1513,330,70,30,44,53,62,71,63
CAM,3,3,2,2,1,9,63,63,63,69,67,67,67,69,70,70,70,70,70,70,70,70,69,68,68,68,69,68,63,63,63,68,13,23,5.9,159.0,23000000,12000,311,68,57,48,76,62.0,320,74,53.0,47,70,76,363,74,69,78.0,61,81.0,281,55,35.0,68,59,64,292,51,64.0,64.0,67.0,46,66.0,208,66,73,69.0,42,6,9,14,8,5,1817,397,71,58,69,75,66,58,70
ST,3,2,2,1,1,10,58,58,58,57,57,57,57,57,57,57,57,56,55,55,55,56,50,53,53,53,50,50,54,54,54,50,15,19,6.3,172.0,220000,900,266,49,60,65,58,34.0,254,59,41.0,40,54,60,287,55,55,69.0,50,58.0,295,60,65.0,48,73,49,276,65,48.0,54.0,59.0,50,50.0,134,47,45,42.0,52,13,12,7,13,7,1564,338,55,56,54,60,48,65,57
CB,3,2,1,2,1,5,37,37,37,34,35,35,35,34,36,36,36,37,41,41,41,37,49,51,51,51,49,52,57,57,57,52,17,20,6.1,165.0,210000,750,151,13,14,53,45,26.0,116,19,19.0,13,31,34,298,61,58,64.0,55,60.0,291,35,72.0,81,80,23,197,51,55.0,30.0,37.0,24,39.0,170,54,62,54.0,55,14,11,6,13,11,1278,276,59,22,32,32,57,74,57
RM,3,4,0,1,1,113,70,70,70,75,73,73,73,75,73,73,73,76,73,73,73,76,75,72,72,72,75,74,69,69,69,74,17,24,5.6,146.0,9000000,15000,311,76,63,58,73,41.0,321,78,63.0,37,69,74,400,88,85,78.0,72,77.0,331,72,50.0,86,64,59,336,75,70.0,76.0,71.0,44,73.0,211,68,70,73.0,54,14,6,13,15,6,1964,435,86,63,70,76,69,71,76
ST,3,2,0,2,1,3,54,54,54,51,52,52,52,51,49,49,49,49,43,43,43,49,36,33,33,33,36,35,30,30,30,35,14,18,5.9,143.0,100000,500,225,33,59,52,42,39.0,202,46,39.0,33,34,50,326,73,71,61.0,47,74.0,270,57,64.0,53,45,51,203,32,18.0,53.0,45.0,55,46.0,45,15,18,12.0,51,5,10,14,13,9,1322,282,72,56,39,50,20,45,54
CB,3,2,2,2,1,3,40,40,40,40,39,39,39,40,41,41,41,43,44,44,44,43,49,51,51,51,49,50,53,53,53,50,13,20,6.0,150.0,90000,1000,190,30,25,56,56,23.0,184,43,30.0,21,54,36,264,61,58,39.0,42,64.0,242,31,69.0,63,59,20,192,54,49.0,33.0,33.0,23,49.0,160,56,53,51.0,48,9,8,8,13,10,1280,282,59,25,43,42,53,60,53
RB,3,2,0,2,1,10,46,46,46,54,51,51,51,54,52,52,52,55,50,50,50,55,59,54,54,54,59,59,55,55,55,59,15,22,6.0,154.0,325000,950,201,53,25,43,58,22.0,222,56,47.0,25,35,59,364,81,80,76.0,54,73.0,232,30,64.0,57,56,25,233,49,57.0,48.0,45.0,34,44.0,169,54,58,57.0,55,10,12,14,12,7,1476,326,80,27,49,60,55,55,61
ST,4,3,2,2,1,47,63,63,63,61,62,62,62,61,61,61,61,61,55,55,55,61,46,43,43,43,46,44,39,39,39,44,17,24,6.0,161.0,525000,4000,291,53,61,62,57,58.0,277,61,62.0,42,52,60,346,72,73,69.0,61,71.0,309,65,59.0,61,66,58,245,34,24.0,64.0,58.0,65,60.0,67,20,23,24.0,62,9,15,14,8,16,1597,335,73,61,55,62,26,58,63
CAM,3,4,0,0,1,335,65,65,65,72,70,70,70,72,72,72,72,71,68,68,68,71,58,56,56,56,58,54,45,45,45,54,16,18,5.8,139.0,55000000,6000,305,68,66,39,73,59.0,369,77,75.0,68,70,79,382,73,69,89.0,66,85.0,316,67,70.0,69,38,72,281,48,37.0,63.0,70.0,63,71.0,114,41,38,35.0,50,15,6,12,10,7,1817,376,71,67,71,79,39,49,72
CM,4,4,2,0,3,11,66,66,66,71,71,71,71,71,75,75,75,72,78,78,78,72,72,77,77,77,72,71,72,72,72,71,12,33,5.11,168.0,42000000,70000,340,76,46,60,84,74.0,405,80,78.0,76,86,85,318,45,55,65.0,80,73.0,353,84,61.0,55,69,84,350,64,76.0,50.0,84.0,76,82.0,218,78,72,68.0,19,3,5,3,3,5,2003,414,51,64,82,80,73,64,78
GK,3,1,2,2,1,4,18,18,18,14,16,16,16,14,16,16,16,16,18,18,18,16,15,19,19,19,15,16,19,19,19,16,54,19,6.3,187.0,140000,1000,51,10,8,12,15,6.0,70,6,14.0,10,28,12,131,23,16,23.0,45,24.0,161,42,31.0,20,61,7,81,20,11.0,4.0,27.0,19,45.0,31,8,12,11.0,277,59,54,56,50,58,802,296,59,54,56,58,19,50,55
GK,1,1,2,2,1,3,27,27,27,27,28,28,28,27,31,31,31,29,31,31,31,29,27,30,30,30,27,27,28,28,28,27,66,33,6.4,194.0,400000,3000,83,15,12,10,34,12.0,82,11,12.0,13,34,12,258,58,59,55.0,56,30.0,230,44,74.0,32,66,14,156,41,30.0,12.0,60.0,13,37.0,40,15,14,11.0,329,68,64,59,68,70,1178,388,68,64,59,70,59,68,67
LM,3,3,0,2,1,19,66,66,66,67,67,67,67,67,67,67,67,68,66,66,66,68,64,61,61,61,64,63,58,58,58,63,17,20,5.1,148.0,13000000,1000,318,63,65,59,67,64.0,333,67,67.0,67,64,68,362,73,75,73.0,68,73.0,330,66,73.0,73,56,62,301,50,56.0,67.0,66.0,62,61.0,165,56,54,55.0,53,11,7,11,14,10,1862,389,74,65,66,68,56,60,67
